| Drug Name | Sagace URL |
|:----------:|:------------:|
|AKR|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=AKR|
|aaRS1|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=aaRS1|
|aaRS2|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=aaRS2|
|ABCA|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=ABCA|
|ABCB|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=ABCB|
|ABCC|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=ABCC|
|ABCD|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=ABCD|
|ABCE|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=ABCE|
|ABCF|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=ABCF|
|ABCG|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=ABCG|
|ABHD|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=ABHD|
|ACER|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=ACER|
|ACOT|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=ACOT|
|ACS|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=ACS|
|ADAM|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=ADAM|
|ADAMTS|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=ADAMTS|
|ADCY|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=ADCY|
|ADH|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=ADH|
|AGO|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=AGO|
|AGPAT|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=AGPAT|
|AK|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=AK|
|AKAP|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=AKAP|
|ALDH|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=ALDH|
|ALKB|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=ALKB|
|ALOX|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=ALOX|
|ANAPC|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=ANAPC|
|ANKRD|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=ANKRD|
|ANP32|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=ANP32|
|ANXA|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=ANXA|
|APOBEC|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=APOBEC|
|APOLIPO|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=APOLIPO|
|AQP|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=AQP|
|ARF|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=ARF|
|ArfGAP|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=ArfGAP|
|ARHGAP|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=ARHGAP|
|ARHGEF|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=ARHGEF|
|ARL|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=ARL|
|ARMC|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=ARMC|
|ARPC|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=ARPC|
|ARS|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=ARS|
|ASIC|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=ASIC|
|AATP|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=AATP|
|F1ATP|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=F1ATP|
