| Generic Name | Targetmine URL |
|:----------:|:------------:|
|Lepirudin|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Lepirudin|
|Cetuximab|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Cetuximab|
|Dornase Alfa|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Dornase+Alfa|
|Denileukin diftitox|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Denileukin+diftitox|
|Etanercept|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Etanercept|
|Bivalirudin|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Bivalirudin|
|Leuprolide|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Leuprolide|
|Peginterferon alfa-2a|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Peginterferon+alfa-2a|
|Alteplase|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Alteplase|
|Sermorelin|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Sermorelin|
|Interferon alfa-n1|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Interferon+alfa-n1|
|Darbepoetin alfa|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Darbepoetin+alfa|
|Urokinase|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Urokinase|
|Goserelin|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Goserelin|
|Reteplase|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Reteplase|
|Epoetin alfa|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Epoetin+alfa|
|Diethylthiambutene|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Diethylthiambutene|
|Salmon Calcitonin|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Salmon+Calcitonin|
|Interferon alfa-n3|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Interferon+alfa-n3|
|Pegfilgrastim|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Pegfilgrastim|
|Sargramostim|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Sargramostim|
|Secretin|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Secretin|
|Peginterferon alfa-2b|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Peginterferon+alfa-2b|
|Asparaginase|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Asparaginase|
|Thyrotropin Alfa|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Thyrotropin+Alfa|
|Antihemophilic Factor|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Antihemophilic+Factor|
|Anakinra|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Anakinra|
|Gramicidin D|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Gramicidin+D|
|Intravenous Immunoglobulin|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Intravenous+Immunoglobulin|
