| Gene Symbol | Targetmine URL |
|:----------:|:------------:|
|gastrointestinal system disease|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=gastrointestinal+system+disease|
|sarcoma|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=sarcoma|
|eye disease|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=eye+disease|
|disease of metabolism|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=disease+of+metabolism|
|viral infectious disease|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=viral+infectious+disease|
|lymphatic system disease|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=lymphatic+system+disease|
|pneumonia|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=pneumonia|
|idiopathic interstitial pneumonia|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=idiopathic+interstitial+pneumonia|
|hypersensitivity reaction type II disease|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=hypersensitivity+reaction+type+II+disease|
|skin disease|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=skin+disease|
|genetic disease|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=genetic+disease|
|hepatitis|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=hepatitis|
|influenza|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=influenza|
|myopathy|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=myopathy|
|primary immunodeficiency disease|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=primary+immunodeficiency+disease|
|kidney cancer|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=kidney+cancer|
|disease of mental health|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=disease+of+mental+health|
|long QT syndrome|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=long+QT+syndrome|
|lysosomal storage disease|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=lysosomal+storage+disease|
|peroxisomal disease|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=peroxisomal+disease|
|kidney disease|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=kidney+disease|
|hematologic cancer|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=hematologic+cancer|
|syndrome|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=syndrome|
|T-cell leukemia|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=T-cell+leukemia|
|leukemia|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=leukemia|
|spinal muscular atrophy|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=spinal+muscular+atrophy|
|motor neuron disease|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=motor+neuron+disease|
|retinal disease|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=retinal+disease|
|Charcot-Marie-Tooth disease|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Charcot-Marie-Tooth+disease|
|spinocerebellar ataxia|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=spinocerebellar+ataxia|
|muscular dystrophy|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=muscular+dystrophy|
|dysostosis|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=dysostosis|
|retinal degeneration|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=retinal+degeneration|
|neutropenia|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=neutropenia|
|in situ carcinoma|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=in+situ+carcinoma|
|hypotrichosis|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=hypotrichosis|
|amyloidosis|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=amyloidosis|
|fundus dystrophy|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=fundus+dystrophy|
|carcinoma|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=carcinoma|
|intestinal cancer|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=intestinal+cancer|
|connective tissue disease|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=connective+tissue+disease|
|neuronal ceroid lipofuscinosis|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=neuronal+ceroid+lipofuscinosis|
|myotonic dystrophy|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=myotonic+dystrophy|
|neuroendocrine tumor|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=neuroendocrine+tumor|
|germ cell cancer|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=germ+cell+cancer|
|intellectual disability|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=intellectual+disability|
|severe combined immunodeficiency|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=severe+combined+immunodeficiency|
|language disorder|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=language+disorder|
|breast carcinoma in situ|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=breast+carcinoma+in+situ|
|brain cancer|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=brain+cancer|
|idiopathic generalized epilepsy|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=idiopathic+generalized+epilepsy|
|pancreas disease|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=pancreas+disease|
|sensorineural hearing loss|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=sensorineural+hearing+loss|
|pelvic inflammatory disease|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=pelvic+inflammatory+disease|
|skin melanoma|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=skin+melanoma|
|nodular malignant melanoma|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=nodular+malignant+melanoma|
|larynx squamous papilloma|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=larynx+squamous+papilloma|
|encephalitis|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=encephalitis|
|keratoconus|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=keratoconus|
|optic neuritis|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=optic+neuritis|
|lung benign neoplasm|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=lung+benign+neoplasm|
|skin benign neoplasm|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=skin+benign+neoplasm|
|osteomyelitis|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=osteomyelitis|
|myositis|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=myositis|
|arterial occlusive disease|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=arterial+occlusive+disease|
|arteriosclerosis|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=arteriosclerosis|
|prostate carcinoma|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=prostate+carcinoma|
|esotropia|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=esotropia|
|peripheral nervous system disease|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=peripheral+nervous+system+disease|
|periodontal disease|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=periodontal+disease|
|uveitis|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=uveitis|
|common cold|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=common+cold|
|stomach carcinoma|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=stomach+carcinoma|
|retinitis pigmentosa|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=retinitis+pigmentosa|
|Krabbe disease|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Krabbe+disease|
|adrenoleukodystrophy|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=adrenoleukodystrophy|
