| Gene Symbol | Targetmine URL |
|:----------:|:------------:|
|03B03F|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=03B03F|
|03B03R|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=03B03R|
|03.MMHAP34FRA.seq|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=03.MMHAP34FRA.seq|
|0610005C13Rik|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=0610005C13Rik|
|0610006L08Rik|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=0610006L08Rik|
|0610007N19Rik|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=0610007N19Rik|
|0610007P14Rik|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=0610007P14Rik|
|0610008F07Rik|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=0610008F07Rik|
|0610008J02Rik|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=0610008J02Rik|
|0610009B14Rik|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=0610009B14Rik|
|0610009B22Rik|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=0610009B22Rik|
|0610009D07Rik|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=0610009D07Rik|
|0610009E02Rik|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=0610009E02Rik|
|0610009F21Rik|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=0610009F21Rik|
|0610009K14Rik|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=0610009K14Rik|
|0610009L18Rik|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=0610009L18Rik|
|0610009O20Rik|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=0610009O20Rik|
|0610010B08Rik|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=0610010B08Rik|
|0610010F05Rik|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=0610010F05Rik|
|0610010K14Rik|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=0610010K14Rik|
|0610011F06Rik|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=0610011F06Rik|
|0610012D04Rik|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=0610012D04Rik|
|0610012E21Rik|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=0610012E21Rik|
|0610012G03Rik|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=0610012G03Rik|
|0610012H03Rik|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=0610012H03Rik|
|0610025J13Rik|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=0610025J13Rik|
|0610030E20Rik|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=0610030E20Rik|
|0610031C06Rik|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=0610031C06Rik|
|0610031I08Rik|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=0610031I08Rik|
