| Gene Symbol | Targetmine URL |
|:----------:|:------------:|
|Xmmv51|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Xmmv51|
|Xmmv53|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Xmmv53|
|Xmmv54|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Xmmv54|
|Xmmv56|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Xmmv56|
|Xmmv57|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Xmmv57|
|Xmmv58|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Xmmv58|
|Xmmv59|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Xmmv59|
|Xmmv60|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Xmmv60|
|Xmmv62|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Xmmv62|
|Xmmv63|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Xmmv63|
|Xmmv64|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Xmmv64|
|Xmmv65|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Xmmv65|
|Xmmv66|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Xmmv66|
|Xmmv67|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Xmmv67|
|Xmmv68|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Xmmv68|
|Xmmv69|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Xmmv69|
|Xmmv7|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Xmmv7|
|Xmmv70|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Xmmv70|
|Xmmv71|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Xmmv71|
|Xmmv73|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Xmmv73|
|Xmmv74|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Xmmv74|
|Xmmv75|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Xmmv75|
|Xmmv76|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Xmmv76|
|Xmmv77|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Xmmv77|
|Xmmv78|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Xmmv78|
|Xmmv79|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Xmmv79|
|Xmmv8|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Xmmv8|
|Xmmv9|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Xmmv9|
|XmmvY|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=XmmvY|
|Xmv1|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Xmv1|
|Xmv10|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Xmv10|
|Xmv11|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Xmv11|
|Xmv12|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Xmv12|
|Xmv13|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Xmv13|
|Xmv14|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Xmv14|
|Xmv15|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Xmv15|
|Xmv16|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Xmv16|
|Xmv17|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Xmv17|
|Xmv18|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Xmv18|
|Xmv19|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Xmv19|
|Xmv2|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Xmv2|
|Xmv20|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Xmv20|
|Xmv21|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Xmv21|
|Xmv22|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Xmv22|
|Xmv23|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Xmv23|
|Xmv24|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Xmv24|
|Xmv25|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Xmv25|
|Xmv26|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Xmv26|
|Xmv27|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Xmv27|
|Xmv28|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Xmv28|
|Xmv29|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Xmv29|
|Xmv3|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Xmv3|
|Xmv30|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Xmv30|
|Xmv31|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Xmv31|
|Xmv32|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Xmv32|
